x,y,unid,ceroEscala,nombre,tabla,Id,River,Reach,RS
5450470.150044239126146,6491238.169319772161543,"29",9.432000000000000,Parana,alturas_prefe,"1",Parana,Parana 1,"1178283"
5439266.757095110602677,6451997.617612916976213,"31",6.747000000000000,Diamante,alturas_prefe,"3",Parana,Parana 1,"997966"
5431980.071548072621226,6378526.856631577946246,"33",3.309000000000000,San Lorenzo,alturas_prefe,"5",Parana,Parana 1,"701149"
5441009.725892207585275,6355333.295633209869266,"34",2.923000000000000,Rosario,alturas_prefe,"6",Parana,Parana 1,"611300"
5471190.227805320173502,6323065.854621412232518,"35",1.981000000000000,Villa Constituci,alturas_prefe,"7",Parana,Parana 2,"437757"
5482356.761548615060747,6311271.813435348682106,"36",1.910000000000000,San Nicolas,alturas_prefe,"8",Parana,Parana 2,"384673"
5500399.670044226571918,6296196.656309475190938,"37",1.642000000000000,Ramallo,alturas_prefe,"9",Parana,Parana 2,"300380"
5532483.797158399596810,6274351.172108666971326,"38",0.714000000000000,San Pedro,alturas_prefe,"10",Parana,Parana 2,"138491"
5591276.861284631304443,6226905.979456081986427,"40",0.243000000000000,Zarate,alturas_prefe,"17",Palmas,Palmas2,"222172"
5596075.039571185596287,6220556.349807148799300,"41",0.418000000000000,Campana,alturas_prefe,"18",Palmas,Palmas4,"185568"
5602383.730226630344987,6217381.555596205405891,"1711",0.030000000000000,Las Rosas,estaciones_pvnymm,"19",Palmas,Palmas4,"158533"
5639469.947611276991665,6199949.088736213743687,"1702",-0.337000000000000,Braga,estaciones_pvnymm,"25",Palmas,Palmas13a,"16978"
5623960.025407982058823,6252726.509636628441513,"44",0.390000000000000,Canal Nuevo,alturas_prefe,"30",Gutierrez,Gutierrez,"64559"
5575961.778753856197000,6264404.322933514602482,"45",0.456000000000000,Ibicuy,alturas_prefe,"13",Ibicuy,Ibicuy3,"16819"
5647794.145898972637951,6235301.581138536334038,"48",0.447000000000000,Guazucito,alturas_prefe,"29",Guazu,Guazu9,"2858"
5645994.939595005474985,6250663.453580516390502,"1699",0.027500000000000,Nueva Palmira,alturas_varios,"31",Bravo,Bravo3,"1895"
5641332.219514162279665,6237560.412822341546416,"1710",0.327000000000000,Desembocadura,estaciones_pvnymm,"28",Guazu,Guazu9,"18569"
5613805.843718033283949,6243256.919484293088317,"1712",0.209000000000000,Carabelitas,estaciones_pvnymm,"16",Guazu,Guazu7,"123134"
5591004.148913126438856,6227672.103874630294740,"1713",0.388000000000000,Zarate,estaciones_pvnymm,"17",Palmas,Palmas2,"222172"
5568619.560674937441945,6245078.256326431408525,"1714",1.156000000000000,Baradero,estaciones_pvnymm,"12",Palmas,Palmas2,"331844"
5600214.019027805887163,6250188.781117487698793,"1715",0.717000000000000,Brazo Largo,estaciones_pvnymm,"14",Talavera,Talavera2,"4680"
5576102.862852113321424,6265144.112083612941206,"1716",1.147000000000000,Ibicuy,estaciones_pvnymm,"13",Ibicuy,Ibicuy3,"16819"
5533278.708277178928256,6273153.606162428855896,"1718",0.899000000000000,San Pedro,estaciones_pvnymm,"10",Parana,Parana 2,"138491"
5500232.366298410110176,6296348.145618608221412,"1719",1.507000000000000,Ramallo,estaciones_pvnymm,"9",Parana,Parana 2,"300380"
5479692.550452983938158,6313307.375330985523760,"1720",1.950000000000000,San Nicolas,estaciones_pvnymm,"8",Parana,Parana 2,"384673"
5470041.173949889838696,6324063.210710842162371,"1721",2.128000000000000,Villa Constituci,estaciones_pvnymm,"7",Parana,Parana 2,"437757"
5442199.885654043406248,6352032.031004460528493,"1722",3.030000000000000,Rosario,estaciones_pvnymm,"6",Parana,Parana 1,"611300"
5432023.024618727155030,6381458.071546615101397,"1723",3.625000000000000,San Martin,estaciones_pvnymm,"4",Parana,Parana 1,"712111"
5451132.270235461182892,6490957.172228286042809,"1724",0.000000000000000,Parana_2,estaciones_pvnymm,"1",,Parana 1,"1178283"
5450951.459190594032407,6491075.870688243769109,"2356",0.000000000000000,Rio Parana Tunel,sat2,"1",,Parana 1,"1178283"
5601764.819402156397700,6250731.901617293246090,"2830",0.000000000000000,Guazu BLargo,sat2,"15",Guazu,Guazu5,"179409"
5633279.181802456267178,6189283.123178510926664,"52",-0.530000000000000,SanFernando,alturas_prefe,"24",Lujan,Lujan6,"567"
5639793.868953460827470,6215079.949466240592301,"51",-0.286000000000000,ChanaMini,alturas_prefe,"26",ParanaMini,ParanaMini3,"28403"
5631608.634381406940520,6275331.304886424914002,"1696",0.000000000000000,Martinez,alturas_varios,,,,
5643753.913467529229820,6228867.221005395054817,"1257",0.682000000000000,Borches,alturas_varios,"27",Correntoso,Correntoso,"25832"
5689886.795213961042464,6524411.505316130816936,,,Concordia,,,,,
5626038.228327656164765,6197529.358250737190247,"1698",-1.459000000000000,Carapachay,alturas_varios,"22",Carapachay,Carapachay,"26306"
5689984.782580467872322,6162697.564344562590122,,,Pilote Norden,,,,,
5565896.402446155436337,6268924.175142285414040,"1717",1.370000000000000,Bifurcacion,estaciones_pvnymm,"11",Parana,Parana 2,"566"
5559152.886584087274969,6324356.567392830736935,"46",0.898000000000000,Puerto Ruiz,alturas_prefe,"32",Gualeguay,Gualeguay,"132728"
5433604.152245238423347,6498710.391830517910421,"30",8.378000000000000,SantaFe,alturas_prefe,"2",Parana,Parana 1,"1133337"
5479361.904030134901404,6386903.412752612493932,"32",1.536000000000000,Victoria,alturas_prefe,,,,
5546300.717184721492231,6260376.642850622534752,"39",0.641000000000000,Baradero,alturas_prefe,,,,
5616918.250380486249924,6204297.106608089990914,"42",0.000000000000000,Escobar,alturas_prefe,"20",Lujan,Lujan2,"90460"
5620529.416418408975005,6198703.428466039709747,"50",-0.074000000000000,DiqueLujan,alturas_prefe,"21",Lujan,Lujan2,"64233"
5630542.207174458540976,6190801.418753868900239,"49",-0.099000000000000,Tigre,alturas_prefe,"23",Lujan,Lujan4,"21466"
5646845.591274829581380,6175022.262513797730207,"85",0.000000000000000,BsAs,alturas_prefe,,,,
5647547.114223559387028,6340344.688938621431589,"1700",,Boca Guale,alturas_varios,,,,
5657749.075191778130829,6335747.648382995277643,"2235",,Fray Bentos,alturas_varios,,,,
