"index","estacion_id","nombre","series_id","var_id","cero_ign"
"29",29,"Paraná",3408,2,9.432
"31",31,"Diamante",3409,2,6.747
"32",32,"Victoria",3419,2,1.536
"33",33,"San Lorenzo (San Martín)",3411,2,3.309
"34",34,"Rosario",3412,2,2.923
"35",35,"Villa Constitución",3413,2,1.981
"36",36,"San Nicolás",3414,2,3.91
"37",37,"Ramallo",3415,2,1.642
"38",38,"San Pedro",3416,2,0.714
"39",39,"Baradero",3418,2,0.641
"41",41,"Campana",3405,2,0.418
"42",42,"Escobar",3398,2,""
"44",44,"Canal Nuevo",3397,2,0.39
"45",45,"Ibicuy",3420,2,0.456
"49",49,"Tigre",3400,2,-0.099
"50",50,"Dique Luján",3399,2,-0.074
"51",51,"Chaná Miní",3401,2,-0.286
"151",151,"Atucha",3403,2,-0.556
"1702",1702,"Braga",3407,2,-0.337
"1710",1710,"Desembocadura",3395,2,0.327
"1711",1711,"Las Rosas",3406,2,0.03
"1712",1712,"Carabelitas",3396,2,0.209
"1713",1713,"Zárate",3404,2,0.388
"1714",1714,"Baradero",3402,2,1.156
"1715",1715,"Brazo Largo",3394,2,0.717
"1717",1717,"Bifurcación",3417,2,1.37
"1770",1770,"Timbúes",3389,2,""
